206,85,"Action resulting from or influenced by human activity or intervention.",,,"GEMET"
208,85,"Area of protection of the life style of societies where traditional human activities are still maintained and the exploitation of natural resources is still carried out without compromising the future availability.",,,"GEMET"
209,85,"A chemical substance, produced by microorganisms and synthetically, that has the capacity to inhibit the growth of, and even to destroy, bacteria and other microorganisms.",,"biological science","GEMET;Mapping"
210,85,"A complex protein that is produced in response to the introduction of a specific antigen into an animal. Antibodies belong to a class of proteins called immunoglobins, which are formed by plasma cells in the blood as a defence mechanism against invasion by parasites, notably bacteria and viruses, either by killing them or rendering them harmless.\n(Source: ALL2)",,,"GEMET"
211,85,"The act of foreseeing, expecting and taking measures against possible future exposure to harm, death or a thing that causes these.\n(Source: ISEP)",,,"GEMET"
215,85,"An apartment building in which each apartment is individually wholly owned and the common areas are jointly owned.",,,"GEMET"
216,85,"The agricultural practice of intentional maintenance of honey bee colonies.","agriculture","GEMET","GEMET"
217,85,"Resort to a superior court to review the decision of an inferior court or administrative agency.",,,"GEMET"
218,85,"Procedure through which it is possible to resort to a superior court to review the decision of an inferior court.",,,"GEMET"
219,85,"The application of ecological principles to the solution of human problems.",,,"GEMET"
221,85,"Science whose results are employed in technical applications.",,,"GEMET"
224,85,"The cultivation and harvest of freshwater or marine animals and plants, in ponds, tanks, cages or on protected beds.",,,"GEMET"
225,85,"Animal having a water habitat.",,,"GEMET"
226,85,"The study of the relationships among aquatic living organisms and between those organisms and their environment.\n(Source: ALLa)",,,"GEMET"
228,85,"A diverse group of roughly 120 species of mammal that are primarily ocean-dwelling or depend on the ocean for food.",,"biological science","GEMET"
230,85,"Organisms which live in water.\n(Source: PHC)",,"GEMET","GEMET"
231,85,"Plant adapted for a partially or completely submerged life.",,,"GEMET"
233,85,"A channel for supplying water; often underground, but treated architecturally on high arches when crossing valleys or low ground.",,,"GEMET;OpenStreetMap"
234,85,"Layers of rock, sand or gravel that can absorb water and allow it to flow.",,,"GEMET"
235,85,"Growing crops as opposed to dairy farming, cattle farming, etc.",,"GEMET","GEMET"
236,85,"The planting and care of woody plants, especially trees.",,"GEMET","GEMET"
237,85,"Any location containing significant relics and artifacts of past culture.\n(Source: LANDY)",,,"GEMET"
238,85,"The scientific study of the material remains of the cultures of historical or prehistorical peoples.\n(Source: MGH)",,,"GEMET"
239,85,"A group of many islands including the waters that surround them.\n(Source: DOE)",,,"GEMET"
240,85,"The art and science of designing and building structures, or large groups of structures, in keeping with aesthetic and functional criteria.",,,"GEMET"
242,85,"The smallest and most poorly studied of the oceans on earth. It covers an area of 14 million square km that is divided by three submarine ridges, i.e. the Alpha Ridge, the Lomonosov Ridge, and an extension of the mid-Atlantic ridge. It is also nearly landlocked, covered\nyear-round by pack ice, and the third of its area is continental shelf.\n(Source: OCEAN)",,,"GEMET"
243,85,"The northernmost area of the earth, centered on the North Pole, that includes the Arctic Ocean, the northern reaches of Canada, Alaska, Russia, Norway and most of Greenland, Iceland and Svalbard.\n(Source: INP)",,,"GEMET"
244,85,"The overall geographical distribution of a talon.",,,"GEMET"
248,85,"The weapons, ammunition and equipment held by a military unit or state.",,,"GEMET"
250,85,"The military units of a state, typically divided by their differing contexts of operations, such as the army, navy, air force and marines.",,,"GEMET"
251,85,"Compound characterized by the presence of at least one benzene ring.",,"chemical compound","GEMET;Mapping"
252,85,"Hydrocarbon having an unsaturated ring containing alternating double and single bonds, especially containing a benzene ring.",,"chemical compound","GEMET;Mapping"
253,85,"Substance having a distinctive, usually fragrant smell.",,,"GEMET"
255,85,"A toxic metalloid element with symbol As and atomic number 33, existing in several allotropic forms, that occurs principally in realgar and orpiment and as the free element. It is used in semiconductors, lead-based alloys, and high temperature brasses.",,"chemical element","GEMET;Mapping"
256,85,"The creation of works of beauty or other special significance.",,,"GEMET;OLPC Children's Dictionary;General Dictionary"
257,85,"The largest phylum in the animal kingdom; adults typically have segmented body, a sclerotized integument, and many-jointed segmental limbs.\n(Source: MGH)",,"animal;phylum","GEMET;Mapping"
258,85,"Animals characterized by the repetition of similar segments (metameres), exhibited especially by arthropods, annelids, and vertebrates in early embryonic stages and in certain specialized adult structures.",,,"GEMET;Mapping"
259,85,"Lake created behind manmade barriers.",,,"GEMET"
261,85,"Generic name for a group of fibrous mineral silicates.",,,"GEMET;Mapping;General Dictionary"
262,85,"A hardened mixture of asbestos fibers, Portland cement and water used in relatively thin slabs for shingles, wallboard and siding.",,,"GEMET"
263,85,"Association of Southeast Asian Nations. Regional organization of states of Southeast Asia created on august 8th, 1967.",,,"GEMET"
264,85,"The incombustible matter remaining after a substance has been incinerated.",,,"GEMET;Swadesh list"
265,85,"The world's largest continent. It occupies the eastern part of the Eurasian landmass and its adjacent islands and is separated from Europe by the Ural Mountains. Asia borders on the Arctic Ocean, the Pacific Ocean, the Indian Ocean, and the Mediterranean and Red Seas in the west. It includes the largest peninsulas of Asia Minor, India, Arabia, and Indochina and the island groups of Japan, Indonesia, the Philippines, and Ceylon.",,"continent","GEMET;OLPC Children's Dictionary;Mapping;General Dictionary"
266,85,"Conversion of nutritive material to living tissue.\n(Source: KOREN)",,,"GEMET"
268,85,"The science of space flight.",,,"GEMET"
269,85,"The science concerned with celestial bodies and the observation and interpretation of the radiation received in the vicinity of the earth from the component parts of the universe.",,"science","GEMET;OLPC Children's Dictionary;Mapping;General Dictionary"
270,85,"A bound collection of maps or charts, plates, engravings or tables illustrating any subject.",,,"GEMET"
271,85,"The gaseous envelope surrounding the Earth in a several kilometers-thick layer.","astronomy",,"GEMET"
272,85,"The study of the production, transport, modification, and removal of atmospheric constituents in the troposphere and stratosphere.",,,"GEMET"
273,85,"The general movement and circulation of air, which transfers energy between different levels of the atmosphere.",,,"GEMET"
277,85,"A measurable quantity of the moisture content found in the earth's atmosphere.\n(Source: RHW)",,,"GEMET"
279,85,"A simulation, pattern or plan designed to demonstrate the structure or workings of the atmosphere surrounding any object, including the Earth.\n(Source: APD)",,,"GEMET"
281,85,"A triatomic molecule of oxygen; a natural constituent of the atmosphere, with the highest concentrations in the ozone layer or stratosphere; it is found at a level between 15 and 30 km above the Earth, which prevents harmful ultraviolet B radiation, which causes skin cancer and threatens plant life, from reaching the ground. The fragile shield is being damaged by chemicals released on Earth. The main chemicals that are depleting stratospheric ozone are chlorofluorocarbons (CFCs), which are used in refrigerators, aerosols and as cleaners in many industries and halons, which are used in fire extinguishers. The damage is caused when these chemicals release highly reactive forms of chlorine and bromine.\n(Source: GILP96 /  WRIGHT)",,,"GEMET"
283,85,"The study of the physical phenomena of the atmosphere.",,"science","GEMET"
285,85,"The settling out of water from cloud in the form of rain, hail, snow, etc.",,,"GEMET"
287,85,"The sciences that study the dynamics, physics and chemistry of atmospheric phenomena and processes.",,"science","GEMET"
289,85,"Under certain circumstances, the tax law applies attribution rules to assign to one taxpayer the ownership interest of another taxpayer.\n(Source: WESTS)",,,"GEMET"
290,85,"Any means of communication transmitted to both the sense of hearing and the sense of sight, especially technologies directed to large audiences.",,,"GEMET"
293,85,"That part of ecology which deals with individual species and their reactions to environmental factors.\n(Source: UNUN)",,,"GEMET"
295,85,"Branch of industry that manufactures automobiles.",,,"GEMET"
296,85,"A fall or slide of a large mass, as of snow or rock, down a mountainside.",,,"GEMET"
297,85,"The total of measures and devices implemented to protect people, property or natural resources from avalanche conditions, including avalanche forecasting and warning, avalanche zoning, ski testing and the use of explosives and other equipment to stabilize an avalanche area.",,,"GEMET"
298,85,"International rules regulating air transportation.",,,"GEMET"
299,85,"All the birds in a particular region.",,,"GEMET"
300,85,"Term used in a variety of situations, always as the constant or natural amount of a given substance, radiation, noise, etc.",,,"GEMET"
